學年期,系所名稱,"科目名稱(連結課程地圖)             備註 
             限選條件",教師姓名*:主負責老師,已選課人數/餘額,系所名稱_label,學分,必選修,時間,教室,類別_實習,類別_講義,數學_微積分,數學_代數,數學_幾何,數學_數值分析,數學_分析,統計_數據分析,統計_機率,統計_時間數列,統計_貝氏統計,電腦科學_深度學習,電腦科學_演算法,電腦科學_資料結構,電腦科學_人工智慧,電腦科學_程式設計,電機工程_電路設計,電機工程_電磁學,電機工程_模擬系統,測量_測量技術,測量_地圖繪製,測量_GPS定位,土木_結構設計,土木_工程施工,土木_建築學
0111-1,數學系 MATH,初等分析,史習偉,417/18,0,3, 選修,"[3]5,[5]5~6",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,複變數函數論,洪英志,420/19,0,3, 選修,"[3]7,[4]5~6",數學系館 3177,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,數值分析（一）,侯世章,41/419,0,3, 選修,"[1]6,[3]5~6",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,數據科學裡的矩陣方法,王辰樹,42/11,0,3, 選修,"[2]2,[5]3~4",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,偏微分方程導論,連文璟,27/23,0,3, 選修,"[2]7~8,[5]7",數學系館 3174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,拓樸學,陳若淳,31/19,0,3, 選修,"[3]3~4,[5]2",數學系館 3174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-2,數學系 MATH,微積分（二）,方永富,65/15,0,4, 必修,"[1]2~3,[3]5~6",理學教學大樓 36169,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-2,數學系 MATH,線性代數（二）,章源慶,461/19,0,3, 必修,"[3]2,[5]3~4",理學教學大樓 36206,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-2,數學系 MATH,普通物理學（二）,張泰榕,1448/22,0,3, 必修,"[2]3~4,[4]2",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-2,數學系 MATH,計算機概論與程式語言,陳旻宏,634/5,0,3, 必修,"[3]7~8,[5]2",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-2,數學系 MATH,高等微積分（二）,劉之中,85/415,0,4, 必修,"[1]5~6,[3]3~4",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-2,數學系 MATH,代數學（二）,彭勇寧,63/147,0,3, 必修,"[2]3~4,[4]2",理學教學大樓 36104,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-2,數學系 MATH,微分方程導論,李國明,24/346,0,3, 必修,"[2]2,[4]3~4",共同教室 A1306(資源後),False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-2,數學系 MATH,數論導論,林牛,63/413,0,3, 選修,"[1]8,[4]5~6",理學教學大樓 36169,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-2,數學系 MATH,幾何學（一）,夏杼,36/9,0,3, 選修,"[2]5~6,[4]6",數學系館 3174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-2,數學系 MATH,應用分析,李國明,22/13,0,3, 選修,"[3]8,[5]5~6",數學系館 3174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-2,數學系 MATH,科學計算導論,劉育佑,443/7,0,3, 選修,"[2]2,[4]3~4",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-2,數學系 MATH,傅立葉分析與應用,關汝琳,31/14,0,3, 選修,"[1]5~6,[3]7",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-2,數學系 MATH,群表現導論,彭勇寧,16/4,0,3, 選修,"[2]5,[3]3~4",數學系館 3177,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0112-1,數學系 MATH,微積分（一）,高橋亮甫,62/148,0,4, 必修,"[1]2~3,[3]5~6",理學教學大樓 36173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0112-1,數學系 MATH,數學導論,彭勇寧,60/14,0,3, 必修,"[3]7~8,[5]2",理學教學大樓 36173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0112-1,數學系 MATH,普通物理學（一）,田興龍,158/44,0,3, 必修,"[2]3~4,[4]2",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0112-1,數學系 MATH,線性代數（一）,賴青瑞,66/12,0,3, 必修,"[3]2,[5]3~4",理學教學大樓 36204,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0112-1,數學系 MATH,高等微積分（一）,方永富,84/21,0,4, 必修,"[1]5~6,[3]3~4",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0112-1,數學系 MATH,代數學（一）,柯文峰,53/47,0,3, 必修,"[2]3~4,[4]2",成功校區經緯廳 經緯廳,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0112-1,數學系 MATH,機率導論,許瑞麟,57/43,0,3, 必修,"[2]2,[4]3~4",共同教室 A1307(資源後),False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
