學年期,系所名稱,系號-序號課程碼-分班碼屬性碼,年級班別組別,類別,"科目名稱(連結課程地圖)             備註 
             限選條件",學分選必修,教師姓名*:主負責老師,已選課人數/餘額,時間/教室,課綱/Moodle,Syllabus Link
0109-2,統計系 STAT,H2-117  H233000  [STAT3012],3,講義,類別資料分析,3  必修,蘇佩芳,77/1,[2]6~8 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H233000&class_code=
0109-2,統計系 STAT,H2-119  H232000  [STAT3024],3,講義,機器學習,3  選修,鄭順林,560/4,[1]2~3 統計系館 62225[3]2 統計系館 62225,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H232000&class_code=
0109-2,統計系 STAT,H2-122  H233300  [STAT4007],3,講義,工業統計,3  選修,李宜真,036/14,[4]2~4 統計系館 62113,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H233300&class_code=
0109-2,統計系 STAT,H2-127  H233800  [STAT3014],3,實習,統計調查實務,1  必修,趙昌泰,430/27,[5]9~A 統計系館 62119,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H233800&class_code=
0109-2,統計系 STAT,H2-128  H230900  [STAT3008],3,講義,總體經濟學,3  選修,伍弘歷,406/4,[1]6~8 統計系館 62119,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H230900&class_code=
0109-2,統計系 STAT,H200000-Z4  [STAT],4,講義,通識課程,2  必修,,0/請參考備註,[5]1~2,Moodle,
0109-2,統計系 STAT,H2-153  H240900  [STAT4013],4,講義,統計實務,3  選修,楊明宗,20/300,[2]2~4 統計系館 62113,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H240900&class_code=
0109-2,統計系 STAT,H2-154  H143100  [ACC3025E],4,講義,財務風險管理,3  選修,梁少懷,202/13,[3]2~4 會計系館 63102,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H143100&class_code=
0109-2,統計系 STAT,H2-155  H132000  [ACC3009],4,講義,財務管理,3  選修,黃炳勳,055/5,[2]6~8 會計系館 63101,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H132000&class_code=
0109-2,統計系 STAT,H2-156  H430600  [BA3307],4,講義,國際金融,3  選修,康信鴻,19/10,[4]2~4 企管系館 62121,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H430600&class_code=
