學年期,系所名稱,系號-序號課程碼-分班碼屬性碼,年級班別組別,類別,"科目名稱(連結課程地圖)             備註 
             限選條件",學分選必修,教師姓名*:主負責老師,已選課人數/餘額,時間/教室,課綱/Moodle,Syllabus Link
0108-2,統計系 STAT,H2-057  H222800  [STAT2007],2,講義,統計軟體與繪圖,3  選修,李俊毅,52/3,[5]6~8 統計系館 62225,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=H222800&class_code=
0108-2,統計系 STAT,H200000-Z5  [STAT],2,講義,通識課程,2  必修,,0/依照該類課程科目序號選課,[4]7~8,Moodle,
0108-2,統計系 STAT,H210040-Z  [STAT],2,講義,體育（四）,0  必修,,0/請參考備註,[4]5~6,Moodle,
0108-2,統計系 STAT,H2-103  H230500  [STAT3005],3,講義,多變量分析,3  必修,溫敏杰,65/5,[3]3~4 統計系館 62117[5]4 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=H230500&class_code=
0108-2,統計系 STAT,H200000-Z3  [STAT],3,講義,通識課程,2  必修,,0/請參考備註,[5]7~8,Moodle,
0108-2,統計系 STAT,H2-117  H233000  [STAT3012],3,講義,類別資料分析,3  必修,趙昌泰,680/7,[2]6~8 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=H233000&class_code=
0108-2,統計系 STAT,H2-119  H232000  [STAT3024],3,講義,機器學習,3  選修,鄭順林,54/3,[1]2~3 統計系館 62225[3]2 統計系館 62225,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=H232000&class_code=
0108-2,統計系 STAT,H2-122  H233300  [STAT4007],3,講義,工業統計,3  選修,李宜真,507/6,[1]5~7 統計系館 62113,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=H233300&class_code=
0108-2,統計系 STAT,H2-123  H222000  [STAT4001],3,講義,應用機率論,3  選修,張欣民,25/025,[4]2~4 統計系館 62119,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=H222000&class_code=
0108-2,統計系 STAT,H2-127  H233800  [STAT3014],3,實習,統計調查實務,1  必修,趙昌泰,43/035,[5]9~A 統計系館 62119,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=H233800&class_code=
0108-2,統計系 STAT,H2-128  H230900  [STAT3008],3,講義,總體經濟學,3  選修,陳奕奇,23/27,[2]2~4 統計系館 62119,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=H230900&class_code=
0108-2,統計系 STAT,H200000-Z4  [STAT],4,講義,通識課程,2  必修,,0/請0參考備註,[5]1~2,Moodle,
0108-2,統計系 STAT,H2-153  H240900  [STAT4013],4,講義,統計實務,3  選修,楊明宗,202/23,[2]2~4 統計系館 62113,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=H240900&class_code=
0108-2,統計系 STAT,H2-154  H133400  [ACC3013],4,講義,期貨與選擇權,3  選修,顏盟峯,96/7,[5]2~4 會計系館 63211,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=H133400&class_code=
0108-2,統計系 STAT,H2-155  H120201  [ACC2001],4,講義,基本財務學,3  選修,黃炳勳,46/4,[2]6~8 會計系館 63404,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=H120201&class_code=
0108-2,統計系 STAT,H2-156  H430600  [BA3307],4,講義,國際金融,3  選修,康信鴻,36/4,[5]6~8 企管系館 62422,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=H430600&class_code=
0109-1,統計系 STAT,H212010-Z  [STAT],1,基礎國文,基礎國文（一）,2  必修,,0/請參0考備註,[1]7~8,Moodle,
0109-1,統計系 STAT,A119110-Zk  [FLC6004],1,講義,外國語言（一）,2  必修,,0/請參考備0註,[2]5~6,Moodle,
0109-1,統計系 STAT,H2-005  H211610  [STAT1007],1,講義,統計學（一）,3  必修,溫敏杰,127/額滿,[1]2~3 共同教室 A1302[3]2 共同教室 A1302,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H211610&class_code=
0109-1,統計系 STAT,H2-009  H210810  [STAT1003],1,講義,微積分（一）,3  必修,林良靖,59/21,[1]5~6 統計系館 62223[3]5 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H210810&class_code=
0109-1,統計系 STAT,H2-010  H210400  [STAT1011],1,講義,線性代數,3  必修,張升懋*林良靖,906/3,[2]7 統計系館 62115[4]3~4 統計系館 62115,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H210400&class_code=
0109-1,統計系 STAT,H2-017  H211210  [STAT1005],1,講義,經濟學（一）,3  必修,蔡群立,709/2,[4]5~7 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H211210&class_code=
0109-1,統計系 STAT,H2-019  H217910  [STAT0011],1,實習,服務學習（一）,0  必修,李國榮,55/206,[5]N 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H217910&class_code=
0109-1,統計系 STAT,H200000-Z1  [STAT],1,講義,通識課程,2  必修,,0/請參考備0註,[5]1~2,Moodle,
0109-1,統計系 STAT,H2-022  A215500-45  [OPE0300],1,講義,體育（一）,0  必修,馬上鈞,540/446,[5]7~8 中正堂 中正堂視聽室,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=A215500&class_code=45
0109-1,統計系 STAT,H2-051  H222700  [STAT2006],2,講義,管理學,3  必修,陳淑惠,740/額滿,[5]5~7 統計系館 62115,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H222700&class_code=
0109-1,統計系 STAT,H2-055  H221100  [STAT2004],2,講義,程式設計,3  必選,鄭順林,78/額滿,[3]3~4 統計系館 62225[5]2 統計系館 62225,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H221100&class_code=
0109-1,統計系 STAT,H2-056  H220702  [STAT2019],2,講義,機率概論,3  選修,陳瑞彬,95/1,[1]2~3 統計系館 62115[3]2 統計系館 62115,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H220702&class_code=
0109-1,統計系 STAT,H2-060  H230210  [STAT2008],2,講義,會計學（一）,3  必修,施坤宏,075/3,[1]7~9 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H230210&class_code=
0109-1,統計系 STAT,H2-061  H230600  [STAT3006],2,講義,個體經濟學,3  選修,郭彥廉,053/16,[2]2~4 統計系館 62333,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H230600&class_code=
0109-1,統計系 STAT,H2-062  H133600  [ACC3014],2,講義,固定收益型證券,3  選修,王澤世,135/0額滿,[4]2~4 會計系館 63211,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H133600&class_code=
0109-1,統計系 STAT,H200000-Z5  [STAT],2,講義,通識課程,2  必修,,00/請參考備註,[4]7~8,Moodle,
0109-1,統計系 STAT,H200000-Z2  [STAT],2,講義,通識課程,2  必修,,0/請參考備0註,[2]5~6,Moodle,
0109-1,統計系 STAT,H210030-Z  [STAT],2,講義,體育（三）,0  必修,,0/請參0考備註,[4]5~6,Moodle,
0109-1,統計系 STAT,H2-101  H233500  [STAT3026],3,講義,數理統計（二）,3  必修,李國榮,69/1,[2]3~4 統計系館 62117[4]2 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H233500&class_code=
0109-1,統計系 STAT,H2-103  H236301  [STAT3016],3,講義,實驗設計,3  必修,李宜真,068/9,[2]5 統計系館 62117[3]7~8 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H236301&class_code=
0109-1,統計系 STAT,H2-104  H230100  [STAT3003],3,講義,無母數統計,3  必修,張欣民,82/額滿,[5]2~4 統計系館 62115,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H230100&class_code=
0109-1,統計系 STAT,H2-105  H248100  [STAT3022],3,講義,時間數列分析,3  選修,林良靖,51/9,[1]2~3 統計系館 62113[3]2 統計系館 62113,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H248100&class_code=
0109-1,統計系 STAT,H2-111  H241200  [STAT4015],3,講義,統計模擬,3  選修,李俊毅,49/1,[1]6~8 統計系館 62225,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H241200&class_code=
0109-1,統計系 STAT,H2-112  H432300  [BA3305],3,講義,國際貿易與投資,3  選修,康信鴻,30/額滿,[4]2~4 企管系館 62121,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H432300&class_code=
0109-1,統計系 STAT,H2-113  H133800  [ACC3021E],3,講義,公司理財,3  選修,梁少懷,13/37,[1]6~8 會計系館 63101,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H133800&class_code=
0109-1,統計系 STAT,H200000-Z3  [STAT],3,講義,通識課程,2  必修,,0/請參考備註,[5]7~8,Moodle,
0109-1,統計系 STAT,H2-151  H240200  [STAT4008],4,講義,統計諮詢,3  必修,蘇佩芳,034/1,[2]6~8 統計系館 62227,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H240200&class_code=
0109-1,統計系 STAT,H2-152  H240700  [STAT4009],4,講義,統計資料分析,3  必修,蘇佩芳,28/02,[1]7~9 統計系館 62227,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H240700&class_code=
0109-1,統計系 STAT,H2-157  H242300  [STAT4028],4,講義,巨量資料分析,3  選修,李政德,21/12,[3]2~4 統計系館 62333,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H242300&class_code=
0109-1,統計系 STAT,H2-158  H244101  [STAT4021],4,實習,市場調查實務,1  必修,趙昌泰,020/43,[5]9~A 統計系館 62113,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H244101&class_code=
0109-1,統計系 STAT,H2-159  H240600  [STAT4011],4,講義,品管實務,3  選修,李俊毅,160/34,[4]2~4 統計系館 62113,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H240600&class_code=
0109-1,統計系 STAT,H2-160  H243000  [STAT4018],4,講義,統計問題,3  選修,楊明宗,260/14,[2]2~4 統計系館 62113,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H243000&class_code=
0109-1,統計系 STAT,H2-161  H143700  [ACC4015],4,講義,公司治理與財務報導—國際會計與稅務專題研,3  選修,王金來,056/4,[5]2~4 會計系館 63211,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=H143700&class_code=
0109-1,統計系 STAT,H200000-Z4  [STAT],4,講義,通識課程,2  必修,,0/請參考備註,[5]1~2,Moodle,
0109-2,統計系 STAT,H212020-Z  [STAT],1,基礎國文,基礎國文（二）,2  必修,,0/請參考備註,[1]7~8,Moodle,
0109-2,統計系 STAT,A119120-Zl  [FLC1001],1,講義,外國語言（二）,2  必修,,0/請參考備註,[2]5~6,Moodle,
0109-2,統計系 STAT,H200000-Z1  [STAT],1,講義,通識課程,2  必修,,0/請參0考備註,[5]1~2,Moodle,
0109-2,統計系 STAT,H210020-Z  [STAT],1,講義,體育（二）,0  必修,,0/請參考備註,[5]7~8,Moodle,
0109-2,統計系 STAT,H2-006  H211620  [STAT1008],1,講義,統計學（二）,3  必修,溫敏杰,129/11,[1]2~3 共同教室 A1302[3]2 共同教室 A1302,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H211620&class_code=
0109-2,統計系 STAT,H2-007  H210301  [STAT1001],1,講義,計算機概論,3  必修,許志仲,82/額滿,[2]1 統計系館 62225[4]3~4 統計系館 62225,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H210301&class_code=
0109-2,統計系 STAT,H2-010  H210820  [STAT1004],1,講義,微積分（二）,3  必修,林良靖,63/7,[1]5~6 統計系館 62223[3]5 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H210820&class_code=
0109-2,統計系 STAT,H2-015  H211220  [STAT1006],1,講義,經濟學（二）,3  必修,蔡群立,81/0額滿,[4]5~7 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H211220&class_code=
0109-2,統計系 STAT,H2-016  H217920  [STAT0012],1,實習,服務學習（二）,0  必修,蘇佩芳,056/25,[5]N 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H217920&class_code=
0109-2,統計系 STAT,H2-052  H222300  [STAT2020],2,講義,數理統計（一）,3  必修,李國榮,804/5,[2]3~4 統計系館 62115[4]2 統計系館 62115,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H222300&class_code=
0109-2,統計系 STAT,H2-053  H231801  [STAT2013],2,講義,迴歸分析,3  必修,張升懋,95/4,[3]7~9 統計系館 62115,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H231801&class_code=
0109-2,統計系 STAT,H2-054  H230420  [STAT2009],2,講義,會計學（二）,3  必修,施坤宏,063/7,[1]7~9 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H230420&class_code=
0109-2,統計系 STAT,H2-055  H221900  [STAT2005],2,講義,品質管制,3  選修,潘浙楠,049/11,[3]2~4 統計系館 62113,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H221900&class_code=
0109-2,統計系 STAT,H2-056  H220401  [STAT2002],2,講義,抽樣調查,3  必修,趙昌泰,909/額滿,[2]2 統計系館 62115[5]2~3 統計系館 62115,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H220401&class_code=
0109-2,統計系 STAT,H2-057  H222800  [STAT2007],2,講義,統計軟體與繪圖,3  選修,李俊毅,606/額滿,[5]5~7 統計系館 62225,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H222800&class_code=
0109-2,統計系 STAT,H200000-Z5  [STAT],2,講義,通識課程,2  必修,,0/依照該類課0程科目序號選課,[4]7~8,Moodle,
0109-2,統計系 STAT,H2-059  H232300  [STAT2014],2,講義,保險數學,3  選修,許秀麗,063/7,[2]6~8 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H232300&class_code=
0109-2,統計系 STAT,H2-060  H212200  [STAT1021],2,講義,資料科學導論,3  選修,李政德,405/45,[1]1~3 統計系館 62115,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H212200&class_code=
0109-2,統計系 STAT,H210040-Z  [STAT],2,講義,體育（四）,0  必修,,0/請參考備0註,[4]5~6,Moodle,
0109-2,統計系 STAT,H2-103  H230500  [STAT3005],3,講義,多變量分析,3  必修,鄭順林,63/7,[3]3~4 統計系館 62117[5]1 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=2&co_no=H230500&class_code=
0109-2,統計系 STAT,H200000-Z3  [STAT],3,講義,通識課程,2  必修,,0/請參考備註,[5]7~8,Moodle,
